id,doc_len
26,925
29,2496
964,2931
474,64
65,232
191,1313
418,931
541,708
558,157
270,58
730,1627
222,442
938,34
293,28
720,4446
243,36
705,291
367,58
278,122
442,32
19,1725
54,9318
926,20062
965,3956
296,54
277,459
287,303
415,604
847,4518
348,45
502,371
656,52
113,19543
167,4234
299,2022
385,747
155,930
831,253
112,13
736,24
241,1070
564,431
588,81
602,646
857,850
347,638
237,37
22,1380
198,1039
724,527
330,750
414,54
530,44
196,297
823,246
130,1246
427,28
487,28
486,25
932,27
7,1071
677,1747
77,646
34,2377
184,1176
532,515
858,914
635,293
463,58
551,1474
830,5292
853,3113
939,3538
188,217
399,864
693,417
126,7483
202,304
274,1582
844,407
529,482
889,182
228,61
262,613
325,222
624,734
406,27
570,589
691,773
734,124
50,321
94,1462
149,1995
421,51
638,15259
876,3562
961,1411
600,88
264,45
229,31
650,31
110,1079
190,1086
275,326
343,855
439,299
629,263
737,765
902,3321
706,72
57,1793
136,280
513,544
828,292
936,257
144,1719
388,418
963,1293
417,78
412,31
909,2115
32,651
43,1354
420,3107
696,408
752,603
555,156
378,31
212,2253
779,1313
970,11489
766,315
31,9147
662,62
958,1050
516,272
376,44
119,12524
768,1316
974,3801
395,61
326,895
386,1499
450,539
894,2944
595,155
596,419
39,605
496,290
561,155
845,898
98,259
187,665
201,1585
232,408
402,338
773,2980
962,1598
966,1933
203,1014
700,186
116,15612
145,1010
488,463
25,1037
814,623
880,340
948,9724
157,229
181,2006
363,1299
586,157
843,952
686,1595
852,2151
95,1679
227,2222
268,1035
925,2136
699,173
562,154
589,157
413,58
760,2628
820,1080
912,1353
915,512
455,57
369,54
143,279
621,743
703,80
790,1917
71,342
704,257
370,144
642,32
161,842
193,1827
365,426
443,828
68,707
342,383
713,120
6,326
466,286
72,2971
87,533
215,257
756,1492
58,1523
255,325
258,1540
320,477
665,361
854,419
883,757
107,884
266,1891
424,322
882,2180
221,579
271,58
9,251
316,708
407,783
789,623
897,1095
920,5106
968,6320
744,45
554,157
27,1124
63,1211
158,794
389,440
397,889
447,918
754,116
796,930
856,1147
959,5161
933,117
51,698
56,730
178,484
702,240
353,1042
234,878
239,756
